seed: 42, epochs: 1000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 40, attack: DMRCA, defense: Median, attack_params: None, defense_params: None, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_DMRCA_Median_1000_100_0.01_FedSGD.txt

Started on Sat Dec 20 19:34:32 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1191	Train loss: 0.0720	Cos: nan	Test Acc: 0.1528	Test loss: 0.0719
Epoch 1  		Train Acc: 0.1375	Train loss: 0.0718	Cos: 0.979	Test Acc: 0.1904	Test loss: 0.0716
Epoch 2  		Train Acc: 0.1797	Train loss: 0.0715	Cos: 0.990	Test Acc: 0.2267	Test loss: 0.0711
Epoch 3  		Train Acc: 0.2228	Train loss: 0.0709	Cos: 0.992	Test Acc: 0.2552	Test loss: 0.0705
Epoch 4  		Train Acc: 0.2519	Train loss: 0.0704	Cos: 0.994	Test Acc: 0.2752	Test loss: 0.0699
Epoch 5  		Train Acc: 0.2697	Train loss: 0.0698	Cos: 0.992	Test Acc: 0.2987	Test loss: 0.0692
Epoch 6  		Train Acc: 0.2938	Train loss: 0.0691	Cos: 0.992	Test Acc: 0.3240	Test loss: 0.0684
Epoch 7  		Train Acc: 0.3219	Train loss: 0.0682	Cos: 0.991	Test Acc: 0.3490	Test loss: 0.0676
Epoch 8  		Train Acc: 0.3528	Train loss: 0.0675	Cos: 0.992	Test Acc: 0.3909	Test loss: 0.0666
Epoch 9  		Train Acc: 0.3803	Train loss: 0.0666	Cos: 0.993	Test Acc: 0.4289	Test loss: 0.0655
Epoch 10 		Train Acc: 0.4138	Train loss: 0.0656	Cos: 0.834	Test Acc: 0.4495	Test loss: 0.0646
Epoch 11 		Train Acc: 0.4462	Train loss: 0.0646	Cos: 0.982	Test Acc: 0.4689	Test loss: 0.0635
Epoch 12 		Train Acc: 0.4575	Train loss: 0.0636	Cos: 0.986	Test Acc: 0.4927	Test loss: 0.0624
Epoch 13 		Train Acc: 0.4953	Train loss: 0.0625	Cos: 0.987	Test Acc: 0.5207	Test loss: 0.0610
Epoch 14 		Train Acc: 0.5172	Train loss: 0.0610	Cos: 0.990	Test Acc: 0.5484	Test loss: 0.0594
Epoch 15 		Train Acc: 0.5447	Train loss: 0.0593	Cos: 0.991	Test Acc: 0.5686	Test loss: 0.0577
Epoch 16 		Train Acc: 0.5669	Train loss: 0.0578	Cos: 0.990	Test Acc: 0.5939	Test loss: 0.0558
Epoch 17 		Train Acc: 0.5797	Train loss: 0.0560	Cos: 0.991	Test Acc: 0.6191	Test loss: 0.0536
Epoch 18 		Train Acc: 0.6244	Train loss: 0.0729	Cos: 0.986	Test Acc: 0.6350	Test loss: 0.0512
Epoch 19 		Train Acc: 0.6269	Train loss: 0.0513	Cos: 0.989	Test Acc: 0.6531	Test loss: 0.0487
Epoch 20 		Train Acc: 0.6616	Train loss: 0.0488	Cos: 0.988	Test Acc: 0.6784	Test loss: 0.0460
Epoch 21 		Train Acc: 0.6747	Train loss: 0.0462	Cos: 0.988	Test Acc: 0.7066	Test loss: 0.0431
Epoch 22 		Train Acc: 0.6931	Train loss: 0.0435	Cos: 0.989	Test Acc: 0.7354	Test loss: 0.0403
Epoch 23 		Train Acc: 0.7219	Train loss: 0.0410	Cos: 0.990	Test Acc: 0.7542	Test loss: 0.0375
Epoch 24 		Train Acc: 0.7506	Train loss: 0.0378	Cos: 0.982	Test Acc: 0.7667	Test loss: 0.0346
Epoch 25 		Train Acc: 0.7681	Train loss: 0.0347	Cos: 0.985	Test Acc: 0.7670	Test loss: 0.0319
Epoch 26 		Train Acc: 0.7731	Train loss: 0.0325	Cos: 0.978	Test Acc: 0.7723	Test loss: 0.0295
Epoch 27 		Train Acc: 0.7666	Train loss: 0.0304	Cos: 0.968	Test Acc: 0.7819	Test loss: 0.0271
Epoch 28 		Train Acc: 0.7709	Train loss: 0.0277	Cos: 0.978	Test Acc: 0.7824	Test loss: 0.0252
Epoch 29 		Train Acc: 0.7753	Train loss: 0.0257	Cos: 0.951	Test Acc: 0.8102	Test loss: 0.0232
Epoch 30 		Train Acc: 0.8034	Train loss: 0.0238	Cos: 0.975	Test Acc: 0.8097	Test loss: 0.0220
Epoch 31 		Train Acc: 0.8122	Train loss: 0.0222	Cos: 0.948	Test Acc: 0.8227	Test loss: 0.0205
Epoch 32 		Train Acc: 0.8266	Train loss: 0.0206	Cos: 0.950	Test Acc: 0.8195	Test loss: 0.0195
Epoch 33 		Train Acc: 0.8134	Train loss: 0.0200	Cos: 0.923	Test Acc: 0.8369	Test loss: 0.0184
Epoch 34 		Train Acc: 0.8306	Train loss: 0.0192	Cos: 0.956	Test Acc: 0.8459	Test loss: 0.0177
Epoch 35 		Train Acc: 0.8444	Train loss: 0.0181	Cos: 0.938	Test Acc: 0.8473	Test loss: 0.0172
Epoch 36 		Train Acc: 0.8319	Train loss: 0.0184	Cos: 0.909	Test Acc: 0.8425	Test loss: 0.0168
Epoch 37 		Train Acc: 0.8443	Train loss: 0.0233	Cos: 0.877	Test Acc: 0.8610	Test loss: 0.0162
Epoch 38 		Train Acc: 0.8434	Train loss: 0.0175	Cos: 0.874	Test Acc: 0.8640	Test loss: 0.0158
