seed: 42, epochs: 1000, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 100, batch_size: 32, learning_rate: 0.01, model: simplecnn, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [1], num_workers: 0, record_time: False, num_adv: 40, attack: DMRCA, defense: Krum, attack_params: None, defense_params: {'enable_check': False}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedSGD/MNIST_simplecnn/iid/MNIST_simplecnn_iid_DMRCA_Krum_1000_100_0.01_FedSGD.txt

Started on Sat Dec 20 10:38:36 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1191	Train loss: 0.0720	Cos: nan	Test Acc: 0.1425	Test loss: 0.0719
Epoch 1  		Train Acc: 0.1306	Train loss: 0.0718	Cos: 0.553	Test Acc: 0.1663	Test loss: 0.0716
Epoch 2  		Train Acc: 0.1647	Train loss: 0.0715	Cos: 0.619	Test Acc: 0.2161	Test loss: 0.0711
Epoch 3  		Train Acc: 0.2087	Train loss: 0.0710	Cos: 0.676	Test Acc: 0.2456	Test loss: 0.0705
Epoch 4  		Train Acc: 0.2431	Train loss: 0.0704	Cos: 0.752	Test Acc: 0.2394	Test loss: 0.0699
Epoch 5  		Train Acc: 0.2344	Train loss: 0.0698	Cos: 0.766	Test Acc: 0.3197	Test loss: 0.0693
Epoch 6  		Train Acc: 0.3181	Train loss: 0.0692	Cos: 0.790	Test Acc: 0.3430	Test loss: 0.0685
Epoch 7  		Train Acc: 0.3403	Train loss: 0.0683	Cos: 0.843	Test Acc: 0.3841	Test loss: 0.0677
Epoch 8  		Train Acc: 0.3728	Train loss: 0.0677	Cos: 0.839	Test Acc: 0.4029	Test loss: 0.0667
Epoch 9  		Train Acc: 0.3791	Train loss: 0.0667	Cos: 0.838	Test Acc: 0.4225	Test loss: 0.0656
Epoch 10 		Train Acc: 0.4069	Train loss: 0.0658	Cos: 0.834	Test Acc: 0.4738	Test loss: 0.0643
Epoch 11 		Train Acc: 0.4653	Train loss: 0.0642	Cos: 0.839	Test Acc: 0.4753	Test loss: 0.0629
Epoch 12 		Train Acc: 0.4675	Train loss: 0.0630	Cos: 0.864	Test Acc: 0.4950	Test loss: 0.0612
Epoch 13 		Train Acc: 0.4869	Train loss: 0.0613	Cos: 0.887	Test Acc: 0.5160	Test loss: 0.0593
Epoch 14 		Train Acc: 0.5169	Train loss: 0.0593	Cos: 0.898	Test Acc: 0.5381	Test loss: 0.0570
Epoch 15 		Train Acc: 0.5378	Train loss: 0.0569	Cos: 0.869	Test Acc: 0.5825	Test loss: 0.0545
Epoch 16 		Train Acc: 0.5797	Train loss: 0.0547	Cos: 0.909	Test Acc: 0.6140	Test loss: 0.0517
Epoch 17 		Train Acc: 0.5966	Train loss: 0.0520	Cos: 0.884	Test Acc: 0.6510	Test loss: 0.0484
Epoch 18 		Train Acc: 0.6510	Train loss: 0.0662	Cos: 0.880	Test Acc: 0.6575	Test loss: 0.0450
